source_business_domain,source_entity_type,destination_business_domain,destination_entity_type,relationship_name,cardinality
finance,legal-entity,finance,gl-department,has,0_*
finance,gl-department,finance,legal-entity,is-shared,1_*
finance,legal-entity,finance,gl-account,has,0_*
finance,gl-account,finance,legal-entity,belongs-to,1_*
finance,legal-entity,finance,pay-group,has,0_*
finance,pay-group,finance,legal-entity,is-associated,1_1
finance,pay-group,finance,payroll-schedule,has,1_1
finance,payroll-schedule,finance,pay-group,is-associated,1_*
finance,legal-entity,finance,business-number,has,1_1
finance,business-number,finance,legal-entity,identifies,1_1
finance,business-number,finance,payroll-number,has,0_n
finance,payroll-number,finance,business-number,belongs-to,1_1
finance,gl-account,finance,cost-center,has,1_*
finance,cost-center,finance,gl-account,is-associated,1_*
finance,gl-department,finance,gl-account,has,1_*
finance,gl-account,finance,gl-department,belongs-to,1_*
finance,gl-account,finance,cost-center,has,1_*
finance,cost-center,finance,gl-account,is-associated,1_*
finance,gl-department,finance,contract-type,has,0_*
finance,contract-type,finance,gl-department,belongs-to,1_*
finance,contract-type,finance,funder,has,1_1
finance,funder,finance,contract-type,fund,1_*
finance,contract-type,finance,region,services,1_*
finance,region,finance,contract-type,is-serviced,1_*
finance,employee,finance,pay-group,belongs-to,1_1
finance,pay-group,finance,employee,has,1_*
